Date+Index,Type,Date,Index,Value,IsOceanFreight
2022-08-23_BDI,Ocean Freight,2022-08-23,BDI,"1,271.00",True
2022-08-22_BDI,Ocean Freight,2022-08-22,BDI,"1,270.00",True
2022-08-19_BDI,Ocean Freight,2022-08-19,BDI,"1,279.00",True
2022-08-18_BDI,Ocean Freight,2022-08-18,BDI,"1,320.00",True
2022-08-17_BDI,Ocean Freight,2022-08-17,BDI,"1,394.00",True
2022-08-16_BDI,Ocean Freight,2022-08-16,BDI,"1,387.00",True
2022-08-15_BDI,Ocean Freight,2022-08-15,BDI,"1,404.00",True
2022-08-12_BDI,Ocean Freight,2022-08-12,BDI,"1,477.00",True
2022-08-11_BDI,Ocean Freight,2022-08-11,BDI,"1,556.00",True
2022-08-10_BDI,Ocean Freight,2022-08-10,BDI,"1,592.00",True
2022-08-09_BDI,Ocean Freight,2022-08-09,BDI,"1,564.00",True
2022-08-08_BDI,Ocean Freight,2022-08-08,BDI,"1,566.00",True
2022-08-05_BDI,Ocean Freight,2022-08-05,BDI,"1,560.00",True
2022-08-04_BDI,Ocean Freight,2022-08-04,BDI,"1,603.00",True
2022-08-03_BDI,Ocean Freight,2022-08-03,BDI,"1,731.00",True
2022-08-02_BDI,Ocean Freight,2022-08-02,BDI,"1,817.00",True
2022-08-01_BDI,Ocean Freight,2022-08-01,BDI,"1,872.00",True
2022-07-29_BDI,Ocean Freight,2022-07-29,BDI,"1,895.00",True
2022-07-28_BDI,Ocean Freight,2022-07-28,BDI,"1,945.00",True
2022-07-27_BDI,Ocean Freight,2022-07-27,BDI,"2,007.00",True
2022-07-26_BDI,Ocean Freight,2022-07-26,BDI,"2,061.00",True
2022-07-25_BDI,Ocean Freight,2022-07-25,BDI,"2,114.00",True
2021-01-08_CCFI,Ocean Freight,2021-01-08,CCFI,1753.85,True
2021-01-15_CCFI,Ocean Freight,2021-01-15,CCFI,1863.84,True
2021-01-22_CCFI,Ocean Freight,2021-01-22,CCFI,1966.64,True
2021-01-29_CCFI,Ocean Freight,2021-01-29,CCFI,2040.18,True
2021-02-05_CCFI,Ocean Freight,2021-02-05,CCFI,2060.26,True
2021-02-10_CCFI,Ocean Freight,2021-02-10,CCFI,2061.51,True
2021-02-19_CCFI,Ocean Freight,2021-02-19,CCFI,2071.71,True
